枠番,馬番,馬名,性齢,斤量,騎手,調教師,オッズ
,,ウィルソンテソーロ,牡7,,川田,高木,---.-
,,ウェイワードアクト,牡6,,不明,田中博,---.-
,,エルトンバローズ,牡6,,不明,杉山晴,---.-
,,オメガギネス,牡6,,岩田康,安田,---.-
,,コスタノヴァ,牡6,,ルメール,木村,---.-
,,サイモンザナドゥ,牡6,,池添,小林,---.-
,,サクラトゥジュール,セ9,,キング,堀,---.-
,,サンライズホーク,セ7,,不明,牧浦,---.-
,,シックスペンス,牡5,,戸崎圭,国枝,---.-
,,ダブルハートボンド,牝5,,坂井,大久保,---.-
,,ナイトアクアリウム,牡6,,不明,杉山佳,---.-
,,ナチュラルライズ,牡4,,横山武,伊藤圭,---.-
,,ハッピーマン,牡4,,高杉,寺島,---.-
,,ブライアンセンス,牡6,,岩田望,斎藤誠,---.-
,,フリームファクシ,牡6,,不明,須貝,---.-
,,ペイシャエス,牡7,,不明,小西,---.-
,,ペプチドナイル,牡8,,富田,武英,---.-
,,ペリエール,牡6,,佐々木,黒岩,---.-
,,ヤマニンウルス,牡6,,不明,斉藤崇,---.-
,,ラムジェット,牡5,,三浦,佐々木,---.-
,,ロングラン,セ8,,荻野極,和田勇,---.-
,,ロードクロンヌ,牡5,,横山和,四位,---.-
