枠番,馬番,馬名,性齢,斤量,騎手,調教師,オッズ
7,14,ウィルソンテソーロ,牡7,,川田,高木,5.3
,,ウェイワードアクト,牡6,,不明,田中博,---.-
,,エルトンバローズ,牡6,,不明,杉山晴,---.-
1,1,オメガギネス,牡6,,岩田康,安田,27.2
6,12,コスタノヴァ,牡6,,ルメール,木村,3.4
8,16,サイモンザナドゥ,牡6,,池添,小林,25.3
4,8,サクラトゥジュール,セ9,,キング,堀,109.9
6,11,サンライズホーク,セ7,,不明,牧浦,651.5
3,5,シックスペンス,牡5,,戸崎圭,国枝,12.6
5,9,ダブルハートボンド,牝5,,坂井,大久保,3.8
,,ナイトアクアリウム,牡6,,不明,杉山佳,---.-
7,13,ナチュラルライズ,牡4,,横山武,伊藤圭,20.4
1,2,ハッピーマン,牡4,,高杉,寺島,57.5
2,3,ブライアンセンス,牡6,,岩田望,斎藤誠,23.4
,,フリームファクシ,牡6,,不明,須貝,---.-
,,ペイシャエス,牡7,,不明,小西,---.-
8,15,ペプチドナイル,牡8,,富田,武英,56.4
2,4,ペリエール,牡6,,佐々木,黒岩,37.7
,,ヤマニンウルス,牡6,,不明,斉藤崇,---.-
3,6,ラムジェット,牡5,,三浦,佐々木,10.9
4,7,ロングラン,セ8,,荻野極,和田勇,192.7
5,10,ロードクロンヌ,牡5,,横山和,四位,11.8
